Original,type
bars,bar
convenience,convenience
hotdogs,fastfood
hotdog,fastfood
soup,cafe
bowling,entertainment
german,european
soulfood,american
diners,others
laotian,asian
brasseries,bar
streetvendors,fastfood
themedcafes,cafe
ramen,asian
creperies,bakery
spanish,european
cajun,american
gaybars,bar
beerbar,bar
poke,american
hawaiian,american
hotpot,asian
tapas,european
szechuan,asian
delis,fastfood
pubs,bar
mideastern,mideastern
waffles,breakfast
cupcakes,bakery
seafoodmarkets,foodmarket
bbq,meat
bakeries,bakery
gluten_free,specificDiet
catering,comfort
pizza,fastfood
movietheaters,entertainment
brewpubs,bar
cafes,cafe
irish_pubs,bar
farmersmarket,foodmarket
festivals,festival
sushi,asian
noodles,asian
foodstands,fastfood
mexican,mexican
vietnamese,asian
sandwiches,fastfood
peruvian,american
venezuelan,european
southern,american
restaurants,others
pancakes,breakfast
gastropubs,bar
lebanese,mediterranean
juicebars,cafe
vegetarian,specificDiet
butcher,meat
italian,european
venues,comfort
salad,salad
scandinavian,european
asianfusion,asian
moroccan,african
african,african
brazilian,american
fishnchips,fastfood
food_court,foodmarket
indonesian,asian
danceclubs,bar
chickenshop,meat
fondue,european
cheese,comfort
mediterranean,mediterranean
dominican,caribbean
gourmet,others
coffee,cafe
icecream,cafe
foodtrucks,fastfood
french,european
himalayan,asian
newamerican,american
malaysian,asian
cantonese,asian
ethiopian,african
poolhalls,bar
british,european
bubbletea,cafe
tapasmallplates,european
donuts,bakery
seafood,meat
musicvenues,art
cigarbars,bar
bagels,bakery
breakfast_brunch,breakfast
irish,european
thai,asian
dinnertheater,entertainment
shopping,others
beergardens,foodmarket
puertorican,caribbean
indpak,asian
burgers,fastfood
cuban,caribbean
popuprestaurants,festival
lounges,bar
panasian,asian
galleries,art
modern_european,european
latin,american
cocktailbars,bar
dimsum,asian
newmexican,mexican
raw_food,foodmarket
portuguese,european
sportsbars,bar
taiwanese,asian
desserts,bakery
divebars,bar
tex-mex,mexican
cafeteria,buffet
colombian,american
wraps,fastfood
greek,european
korean,asian
fooddeliveryservices,convenience
arcades,entertainment
breweries,bar
vegan,specificDiet
tradamerican,american
tacos,mexican
customcakes,bakery
kosher,specificDiet
chinese,asian
wine_bars,bar
caribbean,caribbean
chicken_wings,fastfood
halal,specificDiet
buffets,buffet
persian,mideastern
steak,meat
hookah_bars,bar
meats,meat
japanese,asian
turkish,asian
comfortfood,comfort
grocery,foodmarket
cheesesteaks,meat
