,user_id,elite,rating,rating,area_AL
,count,count,mean,median,count
biz_id,,,,,
0qJXSTFBnNoh5lMD3LgE0Q,660,660,4.2712121212121215,5,660
0ukhgBeLATOo8b8lDobRGg,370,370,4.078378378378378,4,370
14nIlMhxTXWnJg0Glrr-PQ,472,472,3.815677966101695,4,472
1VAX8KygRWcloSuv5x5o5A,300,300,4.196666666666666,5,300
1i63faxXI1TQ7pNlLp3IPQ,1245,1245,4.028112449799197,4,1245
1q3u0GmFKRKPV_ikCiCbUw,1178,1178,4.238539898132428,5,1178
3CrAvu81KXQ31hdiL5_HTw,188,188,4.159574468085107,5,188
4fzjAjzLCnjWfQP1sOHiwA,937,937,4.371398078975454,5,937
57d0Gmx4JKuKQWyJYu0yfg,793,793,4.455233291298865,5,793
59qvYQ6joOWJpwR3kfy7jQ,161,161,4.037267080745342,5,161
5Z0M3VkIccVWVKsXDwUgoQ,110,110,3.8,5,110
5enPbMFK_ZAtoVzlU0dtFg,17,17,4.588235294117647,5,17
6VTj9WahLNw8i6bKAA7kvw,1126,1126,3.0586145648312613,3,1126
6wGHem2o7migh4syWmmB8A,441,441,3.9002267573696145,4,441
6yqPYHtG4LpOVushEzrxXw,527,527,3.836812144212524,4,527
7895YHS5qGu03R-C6aYg9g,1601,1601,4.240474703310431,5,1601
7O7qSDSVwudKkhoIqhoNwQ,579,579,4.27979274611399,5,579
9TLfCS60bIu5DLY4JBfNLw,93,93,4.505376344086022,5,93
9VWaP_2svx5SYdAisNkRYQ,132,132,4.454545454545454,5,132
9XUI9R55hL5Jb8IVeArs5g,449,449,3.951002227171492,4,449
9x8tQvdczbrNaTsQJWRiCQ,178,178,4.382022471910112,5,178
ALYQ-uM_uMkKbkXlhWcgbQ,2106,2106,4.178537511870845,4,2106
ApwmEiStq9aP9-Tf2xfVtA,1266,1266,4.067140600315955,4,1266
BSUDAiXd50PAkfFAztVpDw,1478,1478,4.817320703653586,5,1478
BWcserrn-VAvcWufKnsP_Q,535,535,3.9271028037383178,4,535
